U.S. Census Bureau
Source: Construction Spending
Annual Rate for Total Construction: U.S. Total
Seasonally Adjusted Total Construction [Millions of Dollars]
Period: 2002 to 2024
Data Extracted on: June 5, 2024 (9:27 am)

Period,Value
Jan-2002,858654
Feb-2002,862338
Mar-2002,844551
Apr-2002,858240
May-2002,850935
Jun-2002,846777
Jul-2002,847129
Aug-2002,839008
Sep-2002,832134
Oct-2002,839690
Nov-2002,844697
Dec-2002,855921
Jan-2003,863855
Feb-2003,859225
Mar-2003,851132
Apr-2003,859459
May-2003,866814
Jun-2003,880865
Jul-2003,891264
Aug-2003,901839
Sep-2003,911589
Oct-2003,925732
Nov-2003,925985
Dec-2003,948491
Jan-2004,938525
Feb-2004,937813
Mar-2004,961159
Apr-2004,967602
May-2004,974381
Jun-2004,983087
Jul-2004,1006184
Aug-2004,1013616
Sep-2004,1012080
Oct-2004,1015719
Nov-2004,1022994
Dec-2004,1037480
Jan-2005,1046082
Feb-2005,1066848
Mar-2005,1071745
Apr-2005,1081012
May-2005,1093341
Jun-2005,1105896
Jul-2005,1119101
Aug-2005,1129163
Sep-2005,1148438
Oct-2005,1160831
Nov-2005,1172090
Dec-2005,1184677
Jan-2006,1195642
Feb-2006,1205639
Mar-2006,1205169
Apr-2006,1193296
May-2006,1180581
Jun-2006,1172128
Jul-2006,1157926
Aug-2006,1145907
Sep-2006,1135753
Oct-2006,1122914
Nov-2006,1121749
Dec-2006,1135406
Jan-2007,1137917
Feb-2007,1139032
Mar-2007,1146624
Apr-2007,1150590
May-2007,1161581
Jun-2007,1163511
Jul-2007,1155448
Aug-2007,1159077
Sep-2007,1158580
Oct-2007,1152491
Nov-2007,1132908
Dec-2007,1115141
Jan-2008,1111347
Feb-2008,1096648
Mar-2008,1103446
Apr-2008,1101252
May-2008,1101547
Jun-2008,1090098
Jul-2008,1086952
Aug-2008,1070075
Sep-2008,1059579
Oct-2008,1055959
Nov-2008,1035033
Dec-2008,999139
Jan-2009,975099
Feb-2009,971708
Mar-2009,963793
Apr-2009,932482
May-2009,920020
Jun-2009,912530
Jul-2009,911438
Aug-2009,900112
Sep-2009,887241
Oct-2009,871391
Nov-2009,858493
Dec-2009,842609
Jan-2010,822114
Feb-2010,814885
Mar-2010,821849
Apr-2010,829664
May-2010,823447
Jun-2010,821943
Jul-2010,799694
Aug-2010,802030
Sep-2010,807728
Oct-2010,801372
Nov-2010,804151
Dec-2010,789395
Jan-2011,759964
Feb-2011,758376
Mar-2011,769157
Apr-2011,769437
May-2011,775251
Jun-2011,794839
Jul-2011,792381
Aug-2011,811953
Sep-2011,813660
Oct-2011,808378
Nov-2011,812050
Dec-2011,821367
Jan-2012,830610
Feb-2012,824368
Mar-2012,829288
Apr-2012,841740
May-2012,850928
Jun-2012,858009
Jul-2012,858934
Aug-2012,862726
Sep-2012,866588
Oct-2012,875366
Nov-2012,872052
Dec-2012,871809
Jan-2013,862722
Feb-2013,873583
Mar-2013,864510
Apr-2013,879728
May-2013,888752
Jun-2013,899295
Jul-2013,917756
Aug-2013,929061
Sep-2013,938121
Oct-2013,951214
Nov-2013,964122
Dec-2013,979211
Jan-2014,986587
Feb-2014,987538
Mar-2014,991157
Apr-2014,1006901
May-2014,1007147
Jun-2014,1006424
Jul-2014,1014935
Aug-2014,1015096
Sep-2014,1021890
Oct-2014,1046402
Nov-2014,1044893
Dec-2014,1056429
Jan-2015,1061241
Feb-2015,1072895
Mar-2015,1086748
Apr-2015,1115619
May-2015,1135433
Jun-2015,1158193
Jul-2015,1154561
Aug-2015,1164377
Sep-2015,1163937
Oct-2015,1151533
Nov-2015,1145510
Dec-2015,1156354
Jan-2016,1160988
Feb-2016,1172851
Mar-2016,1188776
Apr-2016,1185902
May-2016,1190685
Jun-2016,1217604
Jul-2016,1214532
Aug-2016,1221250
Sep-2016,1232438
Oct-2016,1241100
Nov-2016,1264881
Dec-2016,1270443
Jan-2017,1254583
Feb-2017,1275911
Mar-2017,1272724
Apr-2017,1269079
May-2017,1282926
Jun-2017,1277352
Jul-2017,1275888
Aug-2017,1274974
Sep-2017,1281172
Oct-2017,1283266
Nov-2017,1308896
Dec-2017,1313666
Jan-2018,1336469
Feb-2018,1355105
Mar-2018,1344968
Apr-2018,1355101
May-2018,1362364
Jun-2018,1343214
Jul-2018,1336631
Aug-2018,1340449
Sep-2018,1326111
Oct-2018,1310946
Nov-2018,1300694
Dec-2018,1289930
Jan-2019,1296049
Feb-2019,1312040
Mar-2019,1322532
Apr-2019,1353657
May-2019,1364421
Jun-2019,1383309
Jul-2019,1410749
Aug-2019,1426091
Sep-2019,1438119
Oct-2019,1442150
Nov-2019,1463036
Dec-2019,1466415
Jan-2020,1494117
Feb-2020,1501790
Mar-2020,1506335
Apr-2020,1460471
May-2020,1452086
Jun-2020,1459188
Jul-2020,1470971
Aug-2020,1489640
Sep-2020,1510182
Oct-2020,1534900
Nov-2020,1550976
Dec-2020,1572760
Jan-2021,1606561
Feb-2021,1585044
Mar-2021,1613045
Apr-2021,1615638
May-2021,1628281
Jun-2021,1639779
Jul-2021,1658346
Aug-2021,1666756
Sep-2021,1667332
Oct-2021,1685243
Nov-2021,1726586
Dec-2021,1754426
Jan-2022,1796460
Feb-2022,1823728
Mar-2022,1849637
Apr-2022,1882753
May-2022,1880896
Jun-2022,1873184
Jul-2022,1869262
Aug-2022,1847285
Sep-2022,1836930
Oct-2022,1830477
Nov-2022,1842206
Dec-2022,1840896
Jan-2023,1882199
Feb-2023,1889562
Mar-2023,1901401
Apr-2023,1907837
May-2023,1946733
Jun-2023,1956226
Jul-2023,1969005
Aug-2023,2010143
Sep-2023,2017510
Oct-2023,2058903
Nov-2023,2082923
Dec-2023,2101042
Jan-2024,2087508
Feb-2024,2105541
Mar-2024,2101511
Apr-2024,2099039
May-2024,NA
Jun-2024,NA
Jul-2024,NA
Aug-2024,NA
Sep-2024,NA
Oct-2024,NA
Nov-2024,NA
Dec-2024,NA
