date,nsa_mfg_ship_c,nsa_mfg_new_orders_c,nsa_mfg_bk_logs_c,nsa_mfg_cap_util_c,nsa_mfg_vend_lead_c,nsa_mfg_emp_c,nsa_mfg_workwk_c,nsa_mfg_wage_c,nsa_mfg_fd_gds_inv_c,nsa_mfg_raw_mats_inv_c,nsa_mfg_pct_chg_prcs_recd_c,nsa_mfg_pct_chg_prcs_pd_c,sa_mfg_composite,sa_mfg_ship_c,sa_mfg_new_orders_c,sa_mfg_bk_logs_c,sa_mfg_cap_util_c,sa_mfg_vend_lead_c,sa_mfg_emp_c,sa_mfg_workwk_c,sa_mfg_wage_c,sa_mfg_fd_gds_inv_c,sa_mfg_raw_mats_inv_c,sa_mfg_pct_chg_prcs_recd_c,sa_mfg_pct_chg_prcs_pd_c,nsa_mfg_ship_e,nsa_mfg_new_orders_e,nsa_mfg_bk_logs_e,nsa_mfg_cap_util_e,nsa_mfg_vend_lead_e,nsa_mfg_emp_e,nsa_mfg_workwk_e,nsa_mfg_wage_e,nsa_mfg_capital_expnd_e,nsa_mfg_pct_chg_prcs_recd_e,nsa_mfg_pct_chg_prcs_pd_e,sa_mfg_ship_e,sa_mfg_new_orders_e,sa_mfg_bk_logs_e,sa_mfg_cap_util_e,sa_mfg_vend_lead_e,sa_mfg_emp_e,sa_mfg_workwk_e,sa_mfg_wage_e,sa_mfg_capital_expnd_e,sa_mfg_pct_chg_prcs_recd_e,sa_mfg_pct_chg_prcs_pd_e,sa_mfg_local_bus_cond_c,sa_mfg_nec_skls_avail_e,sa_mfg_local_bus_cond_e,sa_mfg_nec_skls_avail_c,sa_mfg_equip_sftw_expnd_e,sa_mfg_bus_svcs_expnd_e,sa_mfg_equip_sftw_expnd_c,sa_mfg_capital_expnd_c,sa_mfg_bus_svcs_expnd_c,sa_mfg_fd_gds_inv_e,sa_mfg_raw_mats_inv_e,nsa_mfg_nec_skls_avail_e,nsa_mfg_equip_sftw_expnd_e,nsa_mfg_bus_svcs_expnd_e,nsa_mfg_local_bus_cond_c,nsa_mfg_nec_skls_avail_c,nsa_mfg_equip_sftw_expnd_c,nsa_mfg_local_bus_cond_e,nsa_mfg_capital_expnd_c,nsa_mfg_bus_svcs_expnd_c,nsa_mfg_fd_gds_inv_e,nsa_mfg_raw_mats_inv_e
11/1/93,4,9,-4,#N/A,#N/A,3,-3,#N/A,#N/A,#N/A,#N/A,#N/A,8,7,11,-3,#N/A,#N/A,4,-1,#N/A,#N/A,#N/A,#N/A,#N/A,33,#N/A,#N/A,#N/A,#N/A,5,6,#N/A,#N/A,#N/A,#N/A,33,#N/A,#N/A,#N/A,#N/A,2,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/1/93,13,9,-3,#N/A,#N/A,-1,3,#N/A,#N/A,#N/A,#N/A,#N/A,12,20,14,-1,#N/A,#N/A,1,9,#N/A,#N/A,#N/A,#N/A,#N/A,54,#N/A,#N/A,#N/A,#N/A,8,18,#N/A,#N/A,#N/A,#N/A,52,#N/A,#N/A,#N/A,#N/A,5,15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/1/94,13,19,9,#N/A,#N/A,-3,10,#N/A,#N/A,#N/A,#N/A,#N/A,16,20,23,9,#N/A,#N/A,1,13,#N/A,#N/A,#N/A,#N/A,#N/A,49,#N/A,#N/A,#N/A,#N/A,3,19,#N/A,#N/A,#N/A,#N/A,47,#N/A,#N/A,#N/A,#N/A,-2,16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/1/94,2,9,3,#N/A,#N/A,-9,-1,#N/A,#N/A,#N/A,#N/A,#N/A,5,7,11,3,#N/A,#N/A,-5,2,#N/A,#N/A,#N/A,#N/A,#N/A,42,#N/A,#N/A,#N/A,#N/A,1,12,#N/A,#N/A,#N/A,#N/A,38,#N/A,#N/A,#N/A,#N/A,-6,7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/1/94,37,30,19,#N/A,#N/A,2,9,#N/A,#N/A,#N/A,#N/A,#N/A,19,26,25,17,#N/A,#N/A,3,8,#N/A,#N/A,#N/A,#N/A,#N/A,38,#N/A,#N/A,#N/A,#N/A,5,10,#N/A,#N/A,#N/A,#N/A,36,#N/A,#N/A,#N/A,#N/A,5,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/1/94,24,26,6,#N/A,#N/A,4,10,#N/A,#N/A,#N/A,#N/A,#N/A,16,21,20,1,#N/A,#N/A,3,8,#N/A,#N/A,#N/A,#N/A,#N/A,35,#N/A,#N/A,#N/A,#N/A,-1,8,#N/A,#N/A,#N/A,#N/A,30,#N/A,#N/A,#N/A,#N/A,2,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/1/94,21,21,8,#N/A,#N/A,9,12,#N/A,#N/A,#N/A,#N/A,#N/A,18,21,23,9,#N/A,#N/A,8,10,#N/A,#N/A,#N/A,#N/A,#N/A,39,#N/A,#N/A,#N/A,#N/A,4,11,#N/A,#N/A,#N/A,#N/A,35,#N/A,#N/A,#N/A,#N/A,8,9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/1/94,33,29,17,#N/A,#N/A,2,19,#N/A,#N/A,#N/A,#N/A,#N/A,20,25,33,24,#N/A,#N/A,-4,22,#N/A,#N/A,#N/A,#N/A,#N/A,19,#N/A,#N/A,#N/A,#N/A,-7,5,#N/A,#N/A,#N/A,#N/A,22,#N/A,#N/A,#N/A,#N/A,-4,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/1/94,7,24,14,#N/A,#N/A,9,15,#N/A,#N/A,#N/A,#N/A,#N/A,18,17,26,13,#N/A,#N/A,7,17,#N/A,#N/A,#N/A,#N/A,#N/A,30,#N/A,#N/A,#N/A,#N/A,-6,-1,#N/A,#N/A,#N/A,#N/A,33,#N/A,#N/A,#N/A,#N/A,-5,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8/1/94,36,30,11,#N/A,#N/A,7,22,#N/A,#N/A,#N/A,#N/A,#N/A,22,28,28,14,#N/A,#N/A,5,18,#N/A,#N/A,#N/A,#N/A,#N/A,16,#N/A,#N/A,#N/A,#N/A,-3,-1,#N/A,#N/A,#N/A,#N/A,22,#N/A,#N/A,#N/A,#N/A,2,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9/1/94,26,31,10,#N/A,#N/A,12,22,#N/A,#N/A,#N/A,#N/A,#N/A,21,20,28,9,#N/A,#N/A,11,17,#N/A,#N/A,#N/A,#N/A,#N/A,33,#N/A,#N/A,#N/A,#N/A,10,2,#N/A,#N/A,#N/A,#N/A,40,#N/A,#N/A,#N/A,#N/A,11,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
